"subjid","condition","gamble_order_exp","type","reward","probability","choicenum","bdm","rt","payoffPos"
113,1,86,"1",1508,39,87,394,3.934,"bottom"
113,1,157,"center",1413,47,8,676,4.95,"bottom"
113,1,125,"1",2145,15,126,204,4.354,"bottom"
113,1,166,"TL",297,82,7,215,14.739,"bottom"
113,1,128,"1",2146,15,129,250,5.816,"bottom"
113,1,110,"1",1844,24,111,277,4.779,"bottom"
113,1,160,"BL",297,12,1,30,5.949,"bottom"
113,1,130,"1",2167,13,131,197,6.926,"bottom"
113,1,164,"BR",2161,15,5,145,6.917,"bottom"
113,1,148,"1",2461,1,149,10,15.296,"bottom"
113,1,121,"1",1990,19,122,126,14.526,"bottom"
113,1,161,"BL",43,15,2,4,3.248,"bottom"
113,1,135,"1",2223,11,136,119,7.711,"bottom"
113,1,113,"1",1924,22,114,184,8.332,"bottom"
113,1,146,"1",2456,2,147,40,5.737,"bottom"
113,1,156,"center",1143,43,7,487,20.99,"bottom"
113,1,149,"1",2485,1,150,15,3.104,"bottom"
113,1,154,"center",1423,42,5,600,5.682,"bottom"
113,1,150,"center",1181,60,1,688,7.557,"bottom"
113,1,120,"1",2072,20,121,237,6.598,"bottom"
113,1,117,"1",2007,21,118,255,3.679,"bottom"
113,1,136,"1",2251,11,137,136,2.5,"bottom"
113,1,123,"1",2078,17,124,177,1.951,"bottom"
113,1,153,"center",1494,40,4,514,3.51,"bottom"
113,1,119,"1",1935,21,120,255,3.188,"bottom"
113,1,142,"1",2383,4,143,87,10.281,"bottom"
113,1,129,"1",2172,14,130,189,3.136,"bottom"
113,1,147,"1",2463,2,148,72,4.381,"bottom"
113,1,116,"1",2001,21,117,200,5.915,"bottom"
113,1,126,"1",2133,16,127,184,4.411,"bottom"
113,1,133,"1",2234,12,134,103,4.406,"bottom"
113,1,145,"1",2454,2,146,70,12.509,"bottom"
113,1,103,"1",1705,31,104,320,4.996,"bottom"
113,1,151,"center",1116,50,2,558,21.426,"bottom"
113,1,163,"BR",2326,12,4,180,2.238,"bottom"
113,1,167,"TL",43,94,8,39,6.047,"bottom"
113,1,131,"1",2205,12,132,115,2.25,"bottom"
113,1,158,"center",1336,50,9,668,26.446,"bottom"
113,1,112,"1",1860,27,113,235,6.331,"bottom"
113,1,169,"TR",2326,82,10,2048,9.333,"bottom"
113,1,141,"1",2321,7,142,157,2.819,"bottom"
113,1,108,"1",1775,28,109,273,2.441,"bottom"
113,1,115,"1",1990,30,116,370,4.439,"bottom"
113,1,111,"1",1872,25,112,468,56.364,"bottom"
113,1,139,"1",2316,6,140,231,11.261,"bottom"
113,1,104,"1",1722,31,105,572,8.917,"bottom"
113,1,105,"1",1768,32,106,572,4.127,"bottom"
113,1,170,"TR",2161,94,11,2031,49.394,"bottom"
113,1,122,"1",2062,20,123,165,7.65,"bottom"
113,1,124,"1",2062,19,125,192,5.107,"bottom"
113,1,171,"TR",2069,82,12,1669,25.871,"bottom"
113,1,102,"1",1795,30,103,580,6.668,"bottom"
113,1,114,"1",1947,24,115,471,7.452,"bottom"
113,1,127,"1",2151,16,128,312,5.091,"bottom"
113,1,134,"1",2244,11,135,250,3.264,"bottom"
113,1,144,"1",2448,2,145,146,3.132,"bottom"
113,1,107,"1",1874,29,108,293,5.89,"bottom"
113,1,162,"BL",174,3,3,16,5.529,"bottom"
113,1,152,"center",1061,50,3,529,21.924,"bottom"
113,1,138,"1",2320,9,139,107,2.83,"bottom"
113,1,109,"1",1830,26,110,312,5.1,"bottom"
113,1,143,"1",2423,4,144,188,3.395,"bottom"
113,1,140,"1",2345,7,141,146,4.341,"bottom"
113,1,132,"1",2195,14,133,235,7.339,"bottom"
113,1,101,"1",1745,30,102,525,7.61,"bottom"
113,1,118,"1",1968,21,119,270,11.463,"bottom"
113,1,168,"TL",174,82,9,129,10.208,"bottom"
113,1,137,"1",2271,8,138,153,3.587,"bottom"
113,1,106,"1",1744,29,107,196,5.874,"bottom"
113,1,155,"center",1019,39,6,355,6.509,"bottom"
113,1,165,"BR",2069,3,6,103,2.343,"bottom"
113,1,159,"center",1453,61,10,769,14.75,"bottom"
114,1,27,"1",521,76,28,502,15.897,"top"
114,1,8,"1",110,95,9,107,12.76,"top"
114,1,94,"1",1625,37,95,386,7.441,"top"
114,1,99,"1",1722,32,100,490,6.482,"top"
114,1,83,"1",1462,45,84,502,12.442,"top"
114,1,24,"1",542,80,25,425,14.299,"top"
114,1,81,"1",1305,47,82,580,11.956,"top"
114,1,91,"1",1623,38,92,312,5.014,"top"
114,1,96,"1",1667,37,97,444,10.529,"top"
114,1,89,"1",1524,33,90,254,18.793,"top"
114,1,47,"1",934,66,48,564,13.192,"top"
114,1,58,"1",977,61,59,529,6.806,"top"
114,1,64,"1",944,57,65,587,12.82,"top"
114,1,20,"1",483,83,21,417,11.311,"top"
114,1,66,"1",1191,59,67,614,18.369,"top"
114,1,9,"1",172,93,10,169,12.821,"top"
114,1,79,"1",1142,42,80,405,22.076,"top"
114,1,38,"1",839,73,39,614,10.502,"top"
114,1,26,"1",634,75,27,405,4.886,"top"
114,1,34,"1",766,71,35,490,9.736,"top"
114,1,46,"1",813,66,47,432,17.512,"top"
114,1,69,"1",1076,57,70,506,13.082,"top"
114,1,16,"1",416,85,17,370,7.951,"top"
114,1,28,"1",597,74,29,405,13.495,"top"
114,1,62,"1",1093,56,63,456,10.739,"top"
114,1,19,"1",475,84,20,324,8.985,"top"
114,1,23,"1",550,81,24,440,21.132,"top"
114,1,54,"1",969,60,55,316,12.334,"top"
114,1,59,"1",1001,61,60,475,21.221,"top"
114,1,68,"1",1119,54,69,440,23.035,"top"
114,1,7,"1",101,97,8,95,11.298,"top"
114,1,70,"1",1160,52,71,320,17.936,"top"
114,1,50,"1",970,65,51,401,21.633,"top"
114,1,12,"1",279,88,13,270,7.05,"top"
114,1,44,"1",803,70,45,556,11.571,"top"
114,1,67,"1",1170,57,68,498,9.183,"top"
114,1,78,"1",1496,43,79,494,11.139,"top"
114,1,76,"1",1234,50,77,626,19.425,"top"
114,1,74,"1",1307,53,75,645,9.057,"top"
114,1,65,"1",1111,54,66,533,8.114,"top"
114,1,14,"1",321,87,15,304,8.42,"top"
114,1,43,"1",763,66,44,502,19.291,"top"
114,1,31,"1",687,69,32,320,18.547,"top"
114,1,13,"1",281,88,14,270,6.6,"top"
114,1,48,"1",874,69,49,510,17.659,"top"
114,1,18,"1",387,82,19,347,8.632,"top"
114,1,77,"1",1285,50,78,560,11.33,"top"
114,1,29,"1",662,74,30,421,13.288,"top"
114,1,36,"1",784,72,37,463,10.116,"top"
114,1,21,"1",494,78,22,324,7.112,"top"
114,1,82,"1",1446,44,83,409,7.112,"top"
114,1,55,"1",973,62,56,417,6.245,"top"
114,1,10,"1",177,93,11,153,8.52,"top"
114,1,35,"1",696,72,36,541,9.093,"top"
114,1,53,"1",919,62,54,335,7.996,"top"
114,1,51,"1",898,60,52,510,11.303,"top"
114,1,100,"1",1796,30,101,390,9.202,"top"
114,1,33,"1",651,69,34,444,5.724,"top"
114,1,85,"1",1560,39,86,355,8.37,"top"
114,1,80,"1",1335,45,81,514,14.673,"top"
114,1,98,"1",1722,33,99,490,8.339,"top"
114,1,75,"1",1209,45,76,514,5.584,"top"
114,1,3,"1",31,99,4,31,15.607,"top"
